"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","q1","q2","q3","q4","q7","q8","q6","q5","q9","q3_0","q26","q11","q27","q28","q28_0","q49_1","q49_2","q49_3","q41","q15","q16","q17","q17_text","q39","q31","q32","q33","q38","q36_1","q42","q37","q8_0","q9_0","q10","q11_0","q11_text","q12","q12_text","q13","q18","q19","do_br_fl_2","do_bl_50f_50m","do_bl_governmentarchitecture","time","filter__","rep","chief","second","third","direct","mmff","mfmf","mffm","fmmf","fmfm","ffmm","easy","mid","hard","plastics","light","heavy","gender","race","age","income"
"588","R_3F7OebJL7475WpD","Default Response Set","Anonymous","","","","0",41659.4765625,41659.48046875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","north carolina","a small city or town","",1,1,NA,NA,NA,10,1,"less than $1000",1,"45-54","female","white","","graduate or professional degree","","less than $10,000","very conservative","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",555,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","45-54","less than $10,000"
"593","R_b9PJC13apdepXuZ","Default Response Set","Anonymous","","","","0",41659.4921875,41659.5,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,62,49,60,1,"india",NA,"a suburban near a large city","",1,1,NA,NA,NA,49,1,"less than $1000",1,"35-44","male","asian or pacific islander","","graduate or professional degree","","less than $10,000","moderate","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",502,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,62,49,60,0,0,0,"male","asian or pacific islander","35-44","less than $10,000"
"596","R_dm4DSRVlEXZVDKZ","Default Response Set","Anonymous","","","","0",41659.50390625,41659.50390625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,50,29,28,1,"france",NA,"a large city","",1,NA,1,NA,NA,47,1,"$5,000 to $9,999",1,"35-44","female","black or african american","","graduate or professional degree","","less than $10,000","very liberal","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",101,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,50,29,28,0,0,0,"female","black or african american","35-44","less than $10,000"
"598","R_2n0UXVdxKNwQ9Eh","Default Response Set","Anonymous","","","","0",41659.5234375,41659.5234375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,85,57,72,1,"norway","guam","a suburban near a large city","",1,NA,NA,1,NA,60,1,"$5,000 to $9,999",1,"20-24","female","white","","some college, no degree","","$10,000 to under $25,000","liberal","","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",61,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,85,57,72,0,0,0,"female","white","20-24","$10,000 to under $25,000"
"600","R_bO5hPSay7OuJrMx","Default Response Set","Anonymous","","","","0",41659.53125,41659.54296875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,55,86,45,1,"mauritius",NA,"a suburban near a large city","",1,1,NA,NA,NA,25,1,"less than $1000",1,"20-24","female","other","Mauritian","high school graduate (includes equivalency)","","less than $10,000","moderate","If this project take pla","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",780,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,55,86,45,0,0,0,"female","other","20-24","less than $10,000"
"605","R_eKdzfQ0AiClokXX","Default Response Set","Anonymous","","","","0",41659.55078125,41659.5546875,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,100,74,1,"philippines",NA,"a large city","",1,NA,NA,1,NA,31,1,"$1,000 to $4,000",1,"35-44","female","asian or pacific islander","","bachelors degree","","$75,000 to under $100,000","liberal","","50F/50M","Q8|Q26","Q39|Q33|Q36|Q42|Q37",352,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,100,74,1,1,0,"female","asian or pacific islander","35-44","$75,000 to under $100,000"
"608","R_9QtGkoNRhAjwVs9","Default Response Set","Anonymous","","","","0",41659.55859375,41659.55859375,0,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q6|Q26","",114,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","R_e2krrRMKiT2p0pv","Default Response Set","Anonymous","","","","0",41659.5625,41659.56640625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"india",NA,"a large city","",1,NA,NA,NA,1,92,1,"$15,000 to $19,999",1,"45-54","male","asian or pacific islander","","graduate or professional degree","","$100,000 to under $150,000","very liberal","WOULD LIKE TO APPPEAR FO","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",202,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"male","asian or pacific islander","45-54","$100,000 to under $150,000"
"614","R_1HcQsyaB7l5sIqp","Default Response Set","Anonymous","","","","0",41659.5703125,41659.5703125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,"united states","california","a large city","",1,1,NA,NA,NA,81,1,"$20,000 to $24,999",1,"35-44","male","white","","bachelors degree","","$75,000 to under $100,000","moderate","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",138,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,"male","white","35-44","$75,000 to under $100,000"
"617","R_ehu23X6P41N13I9","Default Response Set","Anonymous","","","","0",41659.58203125,41659.5859375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,84,76,82,1,"united states","massachusetts","a suburban near a large city","",1,NA,1,NA,NA,82,1,"$15,000 to $19,999",1,"25-34","female","white","","bachelors degree","","$50,000 to under $75,000","moderate","","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",231,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,84,76,82,0,0,0,"female","white","25-34","$50,000 to under $75,000"
"621","R_2cskUpouyTlBVD7","Default Response Set","Anonymous","","","","0",41659.59375,41659.59765625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","west virginia","a rural area","",1,NA,1,NA,NA,9,1,"less than $1000",1,"65-74","male","white","","some college, no degree","","$25,000 to under $50,000","conservative","like","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",283,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"male","white","65-74","$25,000 to under $50,000"
"622","R_9ZVZYr4H6UWAim9","Default Response Set","Anonymous","","","","0",41659.59375,41659.59375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,82,59,86,1,"united states","ohio","a small city or town","",1,NA,1,NA,NA,NA,1,"less than $1000",1,"25-34","female","white","","some college, no degree","","$10,000 to under $25,000","conservative","","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",122,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,82,59,86,0,0,0,"female","white","25-34","$10,000 to under $25,000"
"623","R_bCmWM4KXk4VS1lH","Default Response Set","Anonymous","","","","0",41659.59375,41659.6015625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","south carolina","a large city","",1,NA,NA,1,NA,27,1,"$1,000 to $4,000",1,"25-34","female","white","","graduate or professional degree","","$75,000 to under $100,000","very liberal","","50F/50M","Q9|Q26","Q39|Q33|Q36|Q42|Q37",747,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","25-34","$75,000 to under $100,000"
"626","R_74LXOrl8zDCAoQd","Default Response Set","Anonymous","","","","0",41659.59765625,41659.59765625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,99,100,100,1,"united states","kentucky","a small city or town","",1,1,NA,NA,NA,91,1,"less than $1000",1,"65-74","male","white","","bachelors degree","","$50,000 to under $75,000","liberal","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",153,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,99,100,100,0,1,1,"male","white","65-74","$50,000 to under $75,000"
"632","R_eysEwDl2xS4RIKV","Default Response Set","Anonymous","","","","0",41659.60546875,41659.60546875,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,70,71,8,1,"united states","indiana","a small city or town","",1,NA,1,NA,NA,10,1,"less than $1000",1,"60-64","male","white","","associate degree","","$50,000 to under $75,000","conservative","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",124,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,70,71,8,0,0,0,"male","white","60-64","$50,000 to under $75,000"
"635","R_3rQP865mxxZQab3","Default Response Set","Anonymous","","","","0",41659.60546875,41659.60546875,0,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q3|Q26","",39,0,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","R_3Q4YKfMYIS5mU9T","Default Response Set","Anonymous","","","","0",41659.6171875,41659.6328125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,65,1,"india",NA,"a suburban near a large city","",1,NA,NA,NA,1,61,1,"less than $1000",1,"25-34","female","asian or pacific islander","","bachelors degree","","less than $10,000","moderate","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",1220,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,65,1,1,0,"female","asian or pacific islander","25-34","less than $10,000"
"639","R_8pI32YRBqPy9KsJ","Default Response Set","Anonymous","","","","0",41659.62109375,41659.64453125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,"kenya",NA,"a rural area","",1,NA,NA,NA,1,NA,1,"less than $1000",1,"60-64","male","black or african american","","some college, no degree","","less than $10,000","liberal","It is good,  but  my dev","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",1979,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"male","black or african american","60-64","less than $10,000"
"644","R_5cNEqvv3Sy5Qha5","Default Response Set","Anonymous","","","","0",41659.6328125,41659.6328125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,93,93,90,1,"united states","new jersey","a rural area","",1,1,NA,NA,NA,30,1,"less than $1000",1,"55-59","female","white","","some college, no degree","","$25,000 to under $50,000","conservative","WE ARE OVER  TAXED","50F/50M","Q3|Q26","Q39|Q31|Q36|Q42|Q37",214,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,93,93,90,0,0,0,"female","white","55-59","$25,000 to under $50,000"
"647","R_2h1l54eTpSoftUp","Default Response Set","Anonymous","","","","0",41659.65234375,41659.65625,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,90,89,91,1,"canada",NA,"a suburban near a large city","",1,1,NA,NA,NA,60,1,"$5,000 to $9,999",1,"60-64","female","white","","associate degree","","$25,000 to under $50,000","conservative","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",299,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,90,89,91,0,0,0,"female","white","60-64","$25,000 to under $50,000"
"650","R_1XlydMuZ1KxNl1b","Default Response Set","Anonymous","","","","0",41659.65625,41659.66015625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,89,90,1,"israel",NA,"a small city or town","",1,1,NA,NA,NA,50,1,"$5,000 to $9,999",1,"55-59","female","white","","bachelors degree","","$50,000 to under $75,000","moderate","","50F/50M","Q3|Q26","Q39|Q31|Q36|Q42|Q37",461,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,89,90,1,0,0,"female","white","55-59","$50,000 to under $75,000"
"653","R_eWARjjUQNDR1O2V","Default Response Set","Anonymous","","","","0",41659.65625,41659.66015625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,0,0,1,"united states","new york","a large city","",1,1,NA,NA,NA,47,1,"less than $1000",1,"65-74","female","white","","graduate or professional degree","",NA,"moderate","","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",124,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,0,0,1,0,0,"female","white","65-74",NA
"657","R_8jkFZn4raKnkdN3","Default Response Set","Anonymous","","","","0",41659.6640625,41659.66796875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,95,95,52,1,"india",NA,"a large city","",1,NA,NA,NA,1,9,1,"less than $1000",1,"35-44","male","asian or pacific islander","","bachelors degree","","i' rather not say","moderate","easy to understand and a","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",319,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,95,95,52,0,0,0,"male","asian or pacific islander","35-44","i' rather not say"
"659","R_elmz2zYE4ypZAK9","Default Response Set","Anonymous","","","","0",41659.66796875,41659.671875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","pennsylvania","a suburban near a large city","",1,NA,NA,NA,1,37,1,"$1,000 to $4,000",1,"85 and over","female","white","","some college, no degree","","$25,000 to under $50,000","conservative","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",347,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"female","white","85 and over","$25,000 to under $50,000"
"662","R_cNJhH33QJOmIwjb","Default Response Set","Anonymous","","","","0",41659.671875,41659.67578125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,69,2,8,1,"united states","ohio","a small city or town","",1,NA,1,NA,NA,3,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","$50,000 to under $75,000","moderate","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",123,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,69,2,8,0,0,0,"female","white","45-54","$50,000 to under $75,000"
"665","R_3n2iVnUNuxnrq17","Default Response Set","Anonymous","","","","0",41659.6875,41659.69140625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,84,1,"united states","new york","a large city","",1,NA,NA,1,NA,40,1,"less than $1000",1,"45-54","female","asian or pacific islander","","graduate or professional degree","","$10,000 to under $25,000","liberal","curbside plastic bag rec","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",250,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,84,1,1,0,"female","asian or pacific islander","45-54","$10,000 to under $25,000"
"668","R_dbNTUE9hs9A6q1f","Default Response Set","Anonymous","","","","0",41659.69140625,41659.6953125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"united states","new hampshire","a suburban near a large city","",1,NA,NA,1,NA,59,1,"$5,000 to $9,999",1,"45-54","female","black or african american","","high school graduate (includes equivalency)","","$50,000 to under $75,000","moderate","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",245,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"female","black or african american","45-54","$50,000 to under $75,000"
"669","R_8dKY0jcQU9yqpDv","Default Response Set","Anonymous","","","","0",41659.69921875,41659.69921875,0,1,"",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q6|Q26","",15,0,"Q6|Q26",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","R_d7l0652DIotPBMV","Default Response Set","Anonymous","","","","0",41659.7109375,41659.7109375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,50,50,1,"united states","pennsylvania","a small city or town","",1,NA,1,NA,NA,0,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","$25,000 to under $50,000","conservative","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",248,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,50,50,1,0,0,"female","white","45-54","$25,000 to under $50,000"
"675","R_1AAyzgs3lnP6Yq9","Default Response Set","Anonymous","","","","0",41659.7109375,41659.71484375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,72,71,1,"united states","ohio","a large city","",1,1,NA,NA,NA,81,1,"$1,000 to $4,000",1,"55-59","female","white","","some college, no degree","","$50,000 to under $75,000","conservative","We have the plastic recy","50F/50M","Q6|Q26","Q39|Q31|Q36|Q42|Q37",219,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,72,71,1,0,0,"female","white","55-59","$50,000 to under $75,000"
"677","R_3DzTcrrOMGbpr8x","Default Response Set","Anonymous","","","","0",41659.71484375,41659.73046875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,96,75,80,1,NA,NA,"a large city","",1,1,NA,NA,NA,45,1,"less than $1000",1,"25-34","male","black or african american","","graduate or professional degree","","less than $10,000","moderate","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",1363,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,96,75,80,0,0,0,"male","black or african american","25-34","less than $10,000"
"683","R_e35UU2ovyLy3Rd3","Default Response Set","Anonymous","","","","0",41659.734375,41659.73828125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,99,100,100,1,"united states","alabama","a small city or town","",1,1,NA,NA,NA,0,1,"$1,000 to $4,000",1,"45-54","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q3|Q26","Q39|Q31|Q36|Q42|Q37",168,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,99,100,100,0,1,1,"female","white","45-54","$25,000 to under $50,000"
"686","R_6sz9LxYycSCqNPT","Default Response Set","Anonymous","","","","0",41659.75,41659.75390625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,70,70,70,1,"united states","kentucky","a rural area","",1,NA,NA,NA,1,49,1,"less than $1000",1,"45-54","female","white","","bachelors degree","","$50,000 to under $75,000","conservative","","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",190,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,70,70,70,0,0,0,"female","white","45-54","$50,000 to under $75,000"
"688","R_e3xIGxUoL50iKfX","Default Response Set","Anonymous","","","","0",41659.7578125,41659.765625,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,90,100,100,1,"india",NA,"a large city","",1,NA,NA,NA,1,30,1,"$1,000 to $4,000",1,"45-54","male","asian or pacific islander","","bachelors degree","","$10,000 to under $25,000","conservative","Very interesting survey","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",729,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,90,100,100,0,1,1,"male","asian or pacific islander","45-54","$10,000 to under $25,000"
"689","R_exQj7zLe9TbJIQR","Default Response Set","Anonymous","","","","0",41659.76171875,41659.765625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,94,87,75,1,"india",NA,"a large city","",1,NA,1,NA,NA,81,1,"$30,000 to $39,999",1,"25-34","female","asian or pacific islander","","graduate or professional degree","","$75,000 to under $100,000","very liberal","","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",597,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,94,87,75,0,0,0,"female","asian or pacific islander","25-34","$75,000 to under $100,000"
"694","R_bkhEdmEKoWFOQ6x","Default Response Set","Anonymous","","","","0",41659.79296875,41659.79296875,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","missouri","a large city","",1,NA,1,NA,NA,50,1,"$1,000 to $4,000",1,"25-34","male","black or african american","","some college, no degree","","$25,000 to under $50,000","moderate","THIS IS EASY SURVEY","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",164,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"male","black or african american","25-34","$25,000 to under $50,000"
"697","R_0qv92kimbNtV61D","Default Response Set","Anonymous","","","","0",41659.80078125,41659.80078125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,80,91,1,"united states","oklahoma","a suburban near a large city","",1,NA,NA,1,NA,19,1,"$5,000 to $9,999",1,"25-34","female","white","","bachelors degree","","$100,000 to under $150,000","moderate","","50F/50M","Q8|Q26","Q39|Q33|Q36|Q42|Q37",191,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,80,91,1,0,0,"female","white","25-34","$100,000 to under $150,000"
"700","R_6m5aO37jE4Bp4eF","Default Response Set","Anonymous","","","","0",41659.80859375,41659.8125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,75,46,94,1,"united states","missouri","a large city","",1,NA,NA,1,NA,48,1,"less than $1000",1,"55-59","female","black or african american","","high school graduate (includes equivalency)","","$10,000 to under $25,000","very conservative","ok survey","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",359,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,75,46,94,0,0,0,"female","black or african american","55-59","$10,000 to under $25,000"
"702","R_bpfCYx6PlS6aNX7","Default Response Set","Anonymous","","","","0",41659.81640625,41659.8203125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,99,5,6,1,"united states","california","a suburban near a large city","",1,NA,NA,1,NA,99,1,"less than $1000",1,"35-44","male","hispanic or latino (of any race)","","associate degree","","$75,000 to under $100,000","liberal","its all fiesta in the na","50F/50M","Q9|Q26","Q39|Q33|Q36|Q42|Q37",313,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,99,5,6,0,0,0,"male","hispanic or latino (of any race)","35-44","$75,000 to under $100,000"
"708","R_6D0KIpq9CIeqq4R","Default Response Set","Anonymous","","","","0",41659.828125,41659.828125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,4,4,3,1,"united states","california","a suburban near a large city","",1,1,NA,NA,NA,6,1,"$5,000 to $9,999",1,"35-44","female","white","","bachelors degree","","$150,000 or more","very conservative","email me","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",125,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,4,4,3,0,0,0,"female","white","35-44","$150,000 or more"
"709","R_5ySGXTiofBtXeIJ","Default Response Set","Anonymous","","","","0",41659.828125,41659.84765625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,97,79,21,1,"cameroon","texas","a large city","",1,NA,NA,1,NA,70,1,"$5,000 to $9,999",1,"25-34","female","black or african american","","9th to 12th grade, no diploma","","$100,000 to under $150,000","very conservative","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",1707,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,97,79,21,0,0,0,"female","black or african american","25-34","$100,000 to under $150,000"
"712","R_251nN2tn9KuZ94h","Default Response Set","Anonymous","","","","0",41659.8359375,41659.8359375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,4,8,5,1,"american samoa","alabama","other","tent",1,NA,1,NA,NA,99,1,"$20,000 to $24,999",1,"35-44","female","black or african american","","graduate or professional degree","","$150,000 or more","very liberal","survey Scammer reported","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",122,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,4,8,5,0,0,0,"female","black or african american","35-44","$150,000 or more"
"713","R_8vSYzafiiNN47Qx","Default Response Set","Anonymous","","","","0",41659.83984375,41659.84375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,3,1,"united states","iowa","a small city or town","",1,NA,NA,NA,1,81,1,"$1,000 to $4,000",1,"60-64","male","white","","bachelors degree","","$50,000 to under $75,000","very liberal","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",301,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,3,1,1,0,"male","white","60-64","$50,000 to under $75,000"
"718","R_6rlEapClqtmBxoV","Default Response Set","Anonymous","","","","0",41659.86328125,41659.8671875,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,29,24,6,1,"united states","tennessee","a large city","",1,NA,1,NA,NA,19,1,"less than $1000",1,"45-54","male","white","","bachelors degree","","$10,000 to under $25,000","liberal","","50F/50M","Q9|Q26","Q39|Q32|Q36|Q42|Q37",245,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,29,24,6,0,0,0,"male","white","45-54","$10,000 to under $25,000"
"719","R_0iXASbJacO6ltOt","Default Response Set","Anonymous","","","","0",41659.87890625,41659.8828125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,80,74,89,1,"united states","indiana","a small city or town","",1,NA,NA,NA,1,78,1,"$20,000 to $24,999",1,"35-44","male","white","","associate degree","","$75,000 to under $100,000","liberal","ok","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",300,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,80,74,89,0,0,0,"male","white","35-44","$75,000 to under $100,000"
"723","R_3JHGfS5fGANsLE9","Default Response Set","Anonymous","","","","0",41659.90234375,41659.90625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","illinois","a small city or town","",1,NA,1,NA,NA,86,1,"$5,000 to $9,999",1,"35-44","female","white","","graduate or professional degree","","$50,000 to under $75,000","liberal","","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",252,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","white","35-44","$50,000 to under $75,000"
"725","R_0qhItR6QYv80HEF","Default Response Set","Anonymous","","","","0",41659.91015625,41659.91015625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,68,85,58,1,"united states","california","a suburban near a large city","",1,NA,NA,1,NA,58,1,"$20,000 to $24,999",1,"35-44",NA,"white","","high school graduate (includes equivalency)","","$100,000 to under $150,000","moderate","","50F/50M","Q5|Q26","Q39|Q33|Q36|Q42|Q37",101,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,68,85,58,0,0,0,NA,"white","35-44","$100,000 to under $150,000"
"730","R_br8iI1dqZvAFUc5","Default Response Set","Anonymous","","","","0",41659.94921875,41659.953125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","new york","a small city or town","",1,NA,1,NA,NA,30,1,"$5,000 to $9,999",1,"45-54","male","white","","some college, no degree","","$75,000 to under $100,000","conservative","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",198,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"male","white","45-54","$75,000 to under $100,000"
"731","R_8DfHpg8uxiSj35r","Default Response Set","Anonymous","","","","0",41659.95703125,41659.9609375,0,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q9|Q26","",88,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
